Species name,Family,Major group
Ficus tinctoria subsp. tinctoria,,Angiosperm
Ficus trichocarpa Blume var. obtusa,,Angiosperm
Ficus trivia,,Angiosperm
Ficus trivia var. laevigata,,Angiosperm
Ficus trivia var. trivia,,Angiosperm
Ficus tsiangii,,Angiosperm
Ficus tuphapensis,,Angiosperm
Ficus undulata,,Angiosperm
Ficus vaccinioides,,Angiosperm
Ficus variegata,,Angiosperm
Ficus variolosa,,Angiosperm
Ficus vasculosa,,Angiosperm
Ficus virens,,Angiosperm
Ficus virgata,,Angiosperm
Ficus yunnanensis,,Angiosperm
Malus asiatica,,Angiosperm
Malus baccata,,Angiosperm
Malus baccata var. baccata,,Angiosperm
Malus baccata var. gracilis,,Angiosperm
Malus daochengensis,,Angiosperm
Malus doumeri,,Angiosperm
Malus halliana,,Angiosperm
Malus honanensis,,Angiosperm
Malus hupehensis,,Angiosperm
Malus hupehensis var. mengshanensis,,Angiosperm
Malus hupehensis var. taiensis,,Angiosperm
Malus jinxianensis,,Angiosperm
Malus kansuensis,,Angiosperm
Malus kansuensis var. calva,,Angiosperm
Malus kansuensis var. kansuensis,,Angiosperm
Malus komarovii,,Angiosperm
Malus leiocalyca,,Angiosperm
Malus mandshurica,,Angiosperm
Malus ombrophila,,Angiosperm
Malus prattii,,Angiosperm
Malus prattii var. glabrata,,Angiosperm
Malus prunifolia,,Angiosperm
Malus pumila,,Angiosperm
Malus rockii,,Angiosperm
Malus rockii var. calvostylata,,Angiosperm
Malus sieboldii,,Angiosperm
Malus sieversii,,Angiosperm
Malus sikkimensis,,Angiosperm
Malus spectabilis,,Angiosperm
Malus toringoides,,Angiosperm
Malus transitoria,,Angiosperm
Malus transitoria var. centralasiatica,,Angiosperm
Malus transitoria var. glabrescens,,Angiosperm
Malus transitoria var. transitoria,,Angiosperm
Malus x micromalus,,Angiosperm
Malus yunnanensis,,Angiosperm
Malus yunnanensis var. veitchii,,Angiosperm
Malus yunnanensis var. yunnanensis,,Angiosperm
Photinia anlungensis,,Angiosperm
Photinia arguta,,Angiosperm
Photinia arguta var. hookeri,,Angiosperm
Photinia arguta var. salicifolia,,Angiosperm
Photinia beauverdiana,,Angiosperm
Photinia beauverdiana var. beauverdiana,,Angiosperm
Photinia beauverdiana var. brevifolia,,Angiosperm
Photinia beckii,,Angiosperm
Photinia benthamiana,,Angiosperm
Photinia benthamiana var. benthamiana,,Angiosperm
Photinia benthamiana var. obovata,,Angiosperm
Photinia benthamiana var. salicifolia,,Angiosperm
Photinia berberidifolia,,Angiosperm
Photinia bergerae,,Angiosperm
Photinia blinii,,Angiosperm
Photinia bodinieri,,Angiosperm
Photinia bodinieri var. bodinieri,,Angiosperm
Photinia bodinieri var. longifolia,,Angiosperm
Photinia calleryana,,Angiosperm
Photinia callosa,,Angiosperm
Photinia chihsiniana,,Angiosperm
Photinia chingiana,,Angiosperm
Photinia chingiana var. chingiana,,Angiosperm
Photinia chingiana var. lipingensis,,Angiosperm
Photinia chingshuiensis,,Angiosperm
Photinia crassifolia,,Angiosperm
Photinia fokienensis,,Angiosperm
Photinia glabra,,Angiosperm
Photinia glomerata,,Angiosperm
Photinia hirsuta,,Angiosperm
Photinia hirsuta var. hirsuta,,Angiosperm
Photinia hirsuta var. lobulata,,Angiosperm
Photinia impressivena,,Angiosperm
Photinia impressivena var. impressivena,,Angiosperm
Photinia impressivena var. urceolocarpa,,Angiosperm
Photinia integrifolia,,Angiosperm
