Species name,Genus,Major group
Astragalus brachypus,Astragalus,Angiosperm
Astragalus brachysemia,Astragalus,Angiosperm
Astragalus brachytrichus,Astragalus,Angiosperm
Astragalus brevialatus,Astragalus,Angiosperm
Astragalus brevifolius,Astragalus,Angiosperm
Astragalus breviscapus,Astragalus,Angiosperm
Astragalus brevivexillatus,Astragalus,Angiosperm
Astragalus buchtormensis,Astragalus,Angiosperm
Astragalus burchan-buddaicus,Astragalus,Angiosperm
Astragalus burqinensis,Astragalus,Angiosperm
Astragalus burtschumensis,Astragalus,Angiosperm
Astragalus caeruleopetalinus,Astragalus,Angiosperm
Astragalus campylorhynchus,Astragalus,Angiosperm
Astragalus candidissimus,Astragalus,Angiosperm
Astragalus capillipes,Astragalus,Angiosperm
Astragalus ceratoides,Astragalus,Angiosperm
Astragalus chagyabensis,Astragalus,Angiosperm
Astragalus chaidamuensis,Astragalus,Angiosperm
Astragalus chamaephyton,Astragalus,Angiosperm
Astragalus changduensis,Astragalus,Angiosperm
Astragalus changmuicus,Astragalus,Angiosperm
Astragalus charguschanus,Astragalus,Angiosperm
Astragalus chengkangensis,Astragalus,Angiosperm
Astragalus chilienshanensis,Astragalus,Angiosperm
Astragalus chinensis,Astragalus,Angiosperm
Astragalus chiukiangensis,Astragalus,Angiosperm
Astragalus chlorostachys,Astragalus,Angiosperm
Astragalus chomutowii,Astragalus,Angiosperm
Astragalus chorgosicus,Astragalus,Angiosperm
Astragalus chrysopterus,Astragalus,Angiosperm
Astragalus cobresiiphilus,Astragalus,Angiosperm
Astragalus cognatus,Astragalus,Angiosperm
Astragalus commixtus,Astragalus,Angiosperm
Astragalus compressus,Astragalus,Angiosperm
Astragalus conaensis,Astragalus,Angiosperm
Astragalus concretus,Astragalus,Angiosperm
Astragalus confertus,Astragalus,Angiosperm
Astragalus consanguineus,Astragalus,Angiosperm
Astragalus contortuplicatus,Astragalus,Angiosperm
Astragalus craibianus,Astragalus,Angiosperm
Astragalus crassifolius,Astragalus,Angiosperm
Astragalus cupulicalycinus,Astragalus,Angiosperm
Astragalus cysticalyx,Astragalus,Angiosperm
Astragalus dabanshanicus,Astragalus,Angiosperm
Astragalus dahuricus,Astragalus,Angiosperm
Astragalus dalaiensis,Astragalus,Angiosperm
Astragalus damxungensis,Astragalus,Angiosperm
Astragalus danicus,Astragalus,Angiosperm
Astragalus daqingshanicus,Astragalus,Angiosperm
Astragalus datunensis,Astragalus,Angiosperm
Astragalus davidii,Astragalus,Angiosperm
Astragalus degensis,Astragalus,Angiosperm
Astragalus dendroides,Astragalus,Angiosperm
Astragalus densiflorus,Astragalus,Angiosperm
Astragalus depauperatus,Astragalus,Angiosperm
Astragalus dependens,Astragalus,Angiosperm
Astragalus despectus,Astragalus,Angiosperm
Astragalus dickorei,Astragalus,Angiosperm
Astragalus dilutus,Astragalus,Angiosperm
Astragalus dingjiensis,Astragalus,Angiosperm
Astragalus discolor,Astragalus,Angiosperm
Astragalus divnogorskajae,Astragalus,Angiosperm
Astragalus dschimensis,Astragalus,Angiosperm
Astragalus dshangartensis,Astragalus,Angiosperm
Astragalus dsharkenticus,Astragalus,Angiosperm
Astragalus dulungkiangensis,Astragalus,Angiosperm
Astragalus dumetorum,Astragalus,Angiosperm
Astragalus dutreuilii,Astragalus,Angiosperm
Astragalus eerqisiensis,Astragalus,Angiosperm
Astragalus efoliolatus,Astragalus,Angiosperm
Astragalus ellipsoideus,Astragalus,Angiosperm
Astragalus ernestii,Astragalus,Angiosperm
Astragalus euchlorus,Astragalus,Angiosperm
Astragalus falconeri,Astragalus,Angiosperm
Astragalus fangensis,Astragalus,Angiosperm
Astragalus filicaulis,Astragalus,Angiosperm
Astragalus filidens,Astragalus,Angiosperm
Astragalus flexus,Astragalus,Angiosperm
Astragalus floccosifolius,Astragalus,Angiosperm
Astragalus floridulus,Astragalus,Angiosperm
Astragalus forrestii,Astragalus,Angiosperm
Astragalus frigidus,Astragalus,Angiosperm
Astragalus fukangensis,Astragalus,Angiosperm
Astragalus galactites,Astragalus,Angiosperm
Astragalus gebleri,Astragalus,Angiosperm
Astragalus geerwusuensis,Astragalus,Angiosperm
Astragalus glabritubus,Astragalus,Angiosperm
